city,year,month,temp_mean,precip_sum
manchester,2021,3,6.703225806451614,74.7
manchester,2021,4,6.2733333333333325,13.9
manchester,2021,5,9.76774193548387,137.1
manchester,2021,6,15.506666666666666,36.3
manchester,2021,7,17.306451612903224,108.4
manchester,2021,8,15.380645161290323,89.7
manchester,2021,9,15.423333333333334,71.3
manchester,2021,10,11.94516129032258,116.9
manchester,2021,11,7.1066666666666665,83.3
manchester,2021,12,5.893548387096774,135.3
manchester,2022,1,4.480645161290322,61.4
manchester,2022,2,6.489285714285714,184.2
manchester,2022,3,7.487096774193549,44.5
manchester,2022,4,8.85,49.4
manchester,2022,5,12.606451612903227,81.2
manchester,2022,6,14.733333333333333,57.7
manchester,2022,7,17.335483870967742,86.6
manchester,2022,8,17.706451612903226,61.2
manchester,2022,9,13.806666666666667,76.0
manchester,2022,10,12.390322580645162,147.5
manchester,2022,11,8.81,124.2
manchester,2022,12,3.425806451612903,89.9
manchester,2023,1,4.84516129032258,115.2
manchester,2023,2,6.235714285714286,26.2
manchester,2023,3,6.538709677419354,145.6
manchester,2023,4,8.266666666666667,77.8
manchester,2023,5,12.45483870967742,57.8
manchester,2023,6,16.92,47.8
manchester,2023,7,15.361290322580645,199.0
manchester,2023,8,15.548387096774194,133.9
manchester,2023,9,16.056666666666665,120.3
manchester,2023,10,11.412903225806453,160.3
manchester,2023,11,6.71,106.3
manchester,2023,12,6.52258064516129,169.1
manchester,2024,1,4.377419354838709,105.2
manchester,2024,2,6.927586206896552,158.8
manchester,2024,3,7.406451612903226,116.60000000000001
manchester,2024,4,8.996666666666666,132.2
manchester,2024,5,13.85483870967742,118.3
manchester,2024,6,13.463333333333333,65.1
manchester,2024,7,15.5,107.3
manchester,2024,8,16.003225806451614,87.0
manchester,2024,9,13.256666666666666,120.7
manchester,2024,10,11.170967741935485,101.39999999999999
manchester,2024,11,6.973333333333333,64.2
manchester,2024,12,7.187096774193549,136.3
